filename,elapsed_time,input_size,output_size,format,video_codec,audio_codec,wasm,index,browser
"earth.mp4",6.024199999999837,1570024,1322592,"matroska","mpeg4","aac",1,1,"Chrome 77"
"earth.mp4",6.469244999985676,1570024,1322592,"matroska","mpeg4","aac",1,2,"Chrome 77"
"earth.mp4",6.350604999999632,1570024,1322592,"matroska","mpeg4","aac",1,3,"Chrome 77"
"earth.mp4",6.309240000002319,1570024,1322592,"matroska","mpeg4","aac",1,4,"Chrome 77"
"earth.mp4",6.1788200000009965,1570024,1322592,"matroska","mpeg4","aac",1,5,"Chrome 77"
"earth.mp4",6.094985000003362,1570024,1322592,"matroska","mpeg4","aac",1,6,"Chrome 77"
"earth.mp4",6.327290000001085,1570024,1322592,"matroska","mpeg4","aac",1,7,"Chrome 77"
"earth.mp4",6.346464999995078,1570024,1322592,"matroska","mpeg4","aac",1,8,"Chrome 77"
"earth.mp4",6.333985000004759,1570024,1322592,"matroska","mpeg4","aac",1,9,"Chrome 77"
"earth.mp4",6.193574999997509,1570024,1322592,"matroska","mpeg4","aac",1,10,"Chrome 77"
"earth.mp4",6.01395500000217,1570024,1322592,"matroska","mpeg4","aac",1,11,"Chrome 77"
"earth.mp4",6.0686900000000605,1570024,1322592,"matroska","mpeg4","aac",1,12,"Chrome 77"
"earth.mp4",6.115365000005113,1570024,1322592,"matroska","mpeg4","aac",1,13,"Chrome 77"
"earth.mp4",6.14673499998753,1570024,1322592,"matroska","mpeg4","aac",1,14,"Chrome 77"
"earth.mp4",6.132790000003297,1570024,1322592,"matroska","mpeg4","aac",1,15,"Chrome 77"
"earth.mp4",6.16982999999891,1570024,1322592,"matroska","mpeg4","aac",1,16,"Chrome 77"
"earth.mp4",6.213285000005271,1570024,1322592,"matroska","mpeg4","aac",1,17,"Chrome 77"
"earth.mp4",6.228530000007595,1570024,1322592,"matroska","mpeg4","aac",1,18,"Chrome 77"
"earth.mp4",6.326665000000503,1570024,1322592,"matroska","mpeg4","aac",1,19,"Chrome 77"
"earth.mp4",6.161289999989094,1570024,1322592,"matroska","mpeg4","aac",1,20,"Chrome 77"
"earth.mp4",6.306315000008908,1570024,1322592,"matroska","mpeg4","aac",1,21,"Chrome 77"
"earth.mp4",6.1058349999948405,1570024,1322592,"matroska","mpeg4","aac",1,22,"Chrome 77"
"earth.mp4",5.890334999989136,1570024,1322592,"matroska","mpeg4","aac",1,23,"Chrome 77"
"earth.mp4",6.356520000001183,1570024,1322592,"matroska","mpeg4","aac",1,24,"Chrome 77"
"earth.mp4",6.336710000003222,1570024,1322592,"matroska","mpeg4","aac",1,25,"Chrome 77"
"earth.mp4",6.188609999997425,1570024,1322592,"matroska","mpeg4","aac",1,26,"Chrome 77"
"earth.mp4",6.179345000011381,1570024,1322592,"matroska","mpeg4","aac",1,27,"Chrome 77"
"earth.mp4",6.233095000003232,1570024,1322592,"matroska","mpeg4","aac",1,28,"Chrome 77"
"earth.mp4",6.098180000000866,1570024,1322592,"matroska","mpeg4","aac",1,29,"Chrome 77"
"earth.mp4",6.072075000003679,1570024,1322592,"matroska","mpeg4","aac",1,30,"Chrome 77"
"earth.mp4",6.1873799999884795,1570024,1322592,"matroska","mpeg4","aac",1,31,"Chrome 77"
"earth.mp4",6.153474999999162,1570024,1322592,"matroska","mpeg4","aac",1,32,"Chrome 77"
"earth.mp4",6.031829999992624,1570024,1322592,"matroska","mpeg4","aac",1,33,"Chrome 77"
"earth.mp4",6.02096999999776,1570024,1322592,"matroska","mpeg4","aac",1,34,"Chrome 77"
"earth.mp4",6.246939999997267,1570024,1322592,"matroska","mpeg4","aac",1,35,"Chrome 77"
"earth.mp4",6.06549000000814,1570024,1322592,"matroska","mpeg4","aac",1,36,"Chrome 77"
"earth.mp4",5.915399999998044,1570024,1322592,"matroska","mpeg4","aac",1,37,"Chrome 77"
"earth.mp4",6.101645000002463,1570024,1322592,"matroska","mpeg4","aac",1,38,"Chrome 77"
"earth.mp4",6.454930000007153,1570024,1322592,"matroska","mpeg4","aac",1,39,"Chrome 77"
"earth.mp4",6.196140000000014,1570024,1322592,"matroska","mpeg4","aac",1,40,"Chrome 77"
"earth.mp4",6.305119999989984,1570024,1322592,"matroska","mpeg4","aac",1,41,"Chrome 77"
"earth.mp4",6.14563499999349,1570024,1322592,"matroska","mpeg4","aac",1,42,"Chrome 77"
"earth.mp4",6.313395000004675,1570024,1322592,"matroska","mpeg4","aac",1,43,"Chrome 77"
"earth.mp4",6.187644999998156,1570024,1322592,"matroska","mpeg4","aac",1,44,"Chrome 77"
"earth.mp4",6.2230949999939185,1570024,1322592,"matroska","mpeg4","aac",1,45,"Chrome 77"
"earth.mp4",6.3513700000039535,1570024,1322592,"matroska","mpeg4","aac",1,46,"Chrome 77"
"earth.mp4",6.027009999990696,1570024,1322592,"matroska","mpeg4","aac",1,47,"Chrome 77"
"earth.mp4",6.246794999999111,1570024,1322592,"matroska","mpeg4","aac",1,48,"Chrome 77"
"earth.mp4",6.262455000003683,1570024,1322592,"matroska","mpeg4","aac",1,49,"Chrome 77"
"earth.mp4",6.109719999993104,1570024,1322592,"matroska","mpeg4","aac",1,50,"Chrome 77"
"earth.mp4",14.968169999992824,1570024,1322592,"matroska","mpeg4","aac",0,1,"Chrome 77"
"earth.mp4",14.86689999999362,1570024,1322592,"matroska","mpeg4","aac",0,2,"Chrome 77"
"earth.mp4",14.81750999999349,1570024,1322592,"matroska","mpeg4","aac",0,3,"Chrome 77"
"earth.mp4",15.106105000013486,1570024,1322592,"matroska","mpeg4","aac",0,4,"Chrome 77"
"earth.mp4",14.924354999995558,1570024,1322592,"matroska","mpeg4","aac",0,5,"Chrome 77"
"earth.mp4",14.890669999993406,1570024,1322592,"matroska","mpeg4","aac",0,6,"Chrome 77"
"earth.mp4",14.851779999997234,1570024,1322592,"matroska","mpeg4","aac",0,7,"Chrome 77"
